id,name,elements,hmin,hmax,dmeas,dmeas2,colour,csystem,discovery_year,entrytype
1,Abelsonite,"Ni,N,C,H",2,3,1.33,1.48,"Pink-purple, dark greyish purple, pale purplish red, reddish brown",Triclinic,1975,0
2,Abenakiite-(Ce),"Ce,Na,Si,O,P,C,S",4,5,3.21,3.21,"Pale brown",Trigonal,,0
3,Abernathyite,"As,O,K,H,U",2.5,3,3.32,3.32,"yellow",Tetragonal,1956,0
4,Abhurite,"Cl,Sn,O,H",2,2,4.42,4.42,"Colourless",Trigonal,1983,0
5,Ablykite,"",,,0,0,,,,0
6,Abraum Salts,"",,,0,0,,,,0
7,Abrazite,"",,,0,0,,,,0
9,Abswurmbachite,"Cu,Mn,Si,O",6.5,6.5,0,0,"Black",Tetragonal,1990,0
10,Acanthite,"Ag,S",2,2.5,7.2,7.4,"lead grey, black",Monoclinic,1855,0
11,Acanthoîde,"",,,0,0,,,,0
13,Acetamide,"N,O,C,H",1,1.5,0,0,"Colourless, grey",Trigonal,1974,0
14,Achávalite,"Fe,Se",2.5,2.5,0,0,"dark grey to black",Hexagonal,1939,0
15,Achlusite,"",,,0,0,,,,0
16,Achrematite,"",,,0,0,"Sulphur-yellow, orange, red",,1875,0
17,Achtaragdite,"",,,0,0,,,,0
18,Actinolite,"Ca,Fe,Mg,Si,O,H",5,6,3.03,3.24,"Green, green-black, grey-green, or black",Monoclinic,,0
19,Acuminite,"Al,Sr,O,F,H",3.5,3.5,3.295,3.295,"Colourless, white, becomes yellow on exposure to x-rays",Monoclinic,,0
21,Adamite,"As,Zn,O,H",3.5,3.5,4.32,4.48,"Ideally white, colourless, frequently pale yellow, honey-yellow, brownish yellow, rose red; blue, pale green to green, may be zoned; bright green (Cu-bearing); bright pink, purple (Co-bearing)",Orthorhombic,1866,0
23,Adelite,"As,Ca,Mg,O,H",5,5,3.71,3.76,"Colourless, white, grey, bluish grey, yellowish grey, yellow, pale green, pinkish brown, brown",Orthorhombic,1887,0
24,Adigeite,"",,,0,0,,,,0
26,Adipite,"",,,0,0,,,,0
27,Admontite,"Mg,B,O,H",2,3,1.82,1.82,"Colourless",Monoclinic,1978,0
30,Aedelforsite (of Retzius),"",,,0,0,,,,0
